# m44 chain start Sat Sep 26 03:43:43 EDT 2026  isle md5 c1fc6d308d36fbcd9f818ce66b8c6893
N EXIT=0 wall=199s fault=0 isle=c1fc6d30 md5 800:0b58c5ee 3000:2b99c60a 7000:4a9a640c args='--com4 --rtc dolphin --freshcard --noconfig --status --ovllog --perf --dumpframe 800,3000,7000 --turbo --play board-start-com4.play --frames 9000 --nomovies'
M EXIT=0 wall=194s fault=0 isle=c1fc6d30 md5 800:d2d40344 3000:59008ce4 7000:3f98f882 args='--com4 --rtc dolphin --freshcard --noconfig --status --ovllog --perf --dumpframe 800,3000,7000 --turbo --play board-start-com4.play --frames 9000'
proof-1 EXIT=0 wall=157s fault=0 isle=c1fc6d30 md5 800:0b58c5ee 3000:2b99c60a 7000:4a9a640c args='--rtc dolphin --freshcard --noconfig --realtime --perf --status --ovllog --com4 --play board-start-com4.play --nomovies --frames 9000 --dumpframe 800,3000,7000'
proof-2 EXIT=0 wall=156s fault=0 isle=c1fc6d30 md5 800:0b58c5ee 3000:2b99c60a 7000:4a9a640c args='--rtc dolphin --freshcard --noconfig --realtime --perf --status --ovllog --com4 --play board-start-com4.play --nomovies --frames 9000 --dumpframe 800,3000,7000'
proof-3 EXIT=0 wall=157s fault=0 isle=c1fc6d30 md5 800:0b58c5ee 3000:2b99c60a 7000:4a9a640c args='--rtc dolphin --freshcard --noconfig --realtime --perf --status --ovllog --com4 --play board-start-com4.play --nomovies --frames 9000 --dumpframe 800,3000,7000'
proof-4 EXIT=0 wall=156s fault=0 isle=c1fc6d30 md5 800:0b58c5ee 3000:2b99c60a 7000:4a9a640c args='--rtc dolphin --freshcard --noconfig --realtime --perf --status --ovllog --com4 --play board-start-com4.play --nomovies --frames 9000 --dumpframe 800,3000,7000'
proof-5 EXIT=0 wall=157s fault=0 isle=c1fc6d30 md5 800:0b58c5ee 3000:2b99c60a 7000:4a9a640c args='--rtc dolphin --freshcard --noconfig --realtime --perf --status --ovllog --com4 --play board-start-com4.play --nomovies --frames 9000 --dumpframe 800,3000,7000'
proof-6 EXIT=0 wall=157s fault=0 isle=c1fc6d30 md5 800:0b58c5ee 3000:2b99c60a 7000:4a9a640c args='--rtc dolphin --freshcard --noconfig --realtime --perf --status --ovllog --com4 --play board-start-com4.play --nomovies --frames 9000 --dumpframe 800,3000,7000'
proof-7 EXIT=0 wall=157s fault=0 isle=c1fc6d30 md5 800:0b58c5ee 3000:2b99c60a 7000:4a9a640c args='--rtc dolphin --freshcard --noconfig --realtime --perf --status --ovllog --com4 --play board-start-com4.play --nomovies --frames 9000 --dumpframe 800,3000,7000'
proof-8 EXIT=0 wall=157s fault=0 isle=c1fc6d30 md5 800:0b58c5ee 3000:2b99c60a 7000:4a9a640c args='--rtc dolphin --freshcard --noconfig --realtime --perf --status --ovllog --com4 --play board-start-com4.play --nomovies --frames 9000 --dumpframe 800,3000,7000'
proof-9 EXIT=0 wall=156s fault=0 isle=c1fc6d30 md5 800:0b58c5ee 3000:2b99c60a 7000:4a9a640c args='--rtc dolphin --freshcard --noconfig --realtime --perf --status --ovllog --com4 --play board-start-com4.play --nomovies --frames 9000 --dumpframe 800,3000,7000'
proof-10 EXIT=0 wall=157s fault=0 isle=c1fc6d30 md5 800:0b58c5ee 3000:2b99c60a 7000:4a9a640c args='--rtc dolphin --freshcard --noconfig --realtime --perf --status --ovllog --com4 --play board-start-com4.play --nomovies --frames 9000 --dumpframe 800,3000,7000'
proof-11 EXIT=0 wall=157s fault=0 isle=c1fc6d30 md5 800:0b58c5ee 3000:2b99c60a 7000:4a9a640c args='--rtc dolphin --freshcard --noconfig --realtime --perf --status --ovllog --com4 --play board-start-com4.play --nomovies --frames 9000 --dumpframe 800,3000,7000'
proof-12 EXIT=0 wall=157s fault=0 isle=c1fc6d30 md5 800:0b58c5ee 3000:2b99c60a 7000:4a9a640c args='--rtc dolphin --freshcard --noconfig --realtime --perf --status --ovllog --com4 --play board-start-com4.play --nomovies --frames 9000 --dumpframe 800,3000,7000'
proof-13 EXIT=0 wall=157s fault=0 isle=c1fc6d30 md5 800:0b58c5ee 3000:2b99c60a 7000:4a9a640c args='--rtc dolphin --freshcard --noconfig --realtime --perf --status --ovllog --com4 --play board-start-com4.play --nomovies --frames 9000 --dumpframe 800,3000,7000'
proof-14 EXIT=0 wall=157s fault=0 isle=c1fc6d30 md5 800:0b58c5ee 3000:2b99c60a 7000:4a9a640c args='--rtc dolphin --freshcard --noconfig --realtime --perf --status --ovllog --com4 --play board-start-com4.play --nomovies --frames 9000 --dumpframe 800,3000,7000'
proof-15 EXIT=0 wall=156s fault=0 isle=c1fc6d30 md5 800:0b58c5ee 3000:2b99c60a 7000:4a9a640c args='--rtc dolphin --freshcard --noconfig --realtime --perf --status --ovllog --com4 --play board-start-com4.play --nomovies --frames 9000 --dumpframe 800,3000,7000'
proof-16 EXIT=0 wall=157s fault=0 isle=c1fc6d30 md5 800:0b58c5ee 3000:2b99c60a 7000:4a9a640c args='--rtc dolphin --freshcard --noconfig --realtime --perf --status --ovllog --com4 --play board-start-com4.play --nomovies --frames 9000 --dumpframe 800,3000,7000'
