# Mario Party 4 (USA Rev 1) -- m444dll's demo ball, read out of a Dolphin
# reference capture with MemoryWatcher.  PLAN.md 27.1.
#
# Columns are the module's own lbl_1_bss_1888 (velocity, Vec) and lbl_1_bss_1894
# (position, Vec), read through the MemoryWatcher pointer chain
#     omDLLinfoTbl[slot] (0x801901E0 + 4*slot) -> omDllData.bss (+8) -> offset
# on every frame where omcurovl == 0x34 (DLL_m444dll).
#
# CHANGE ROWS ONLY: a row is written when the six words differ from the previous
# frame's.  A gap therefore means the ball state was BIT-IDENTICAL over that
# span -- which is what the pre-launch hold and the post-landing wait look like.
#
# Capture: port/ref/movies/m444-drop.txt, four CPU players (GWPlayerCfg[i].iscom
# poked to 1), GWSystem.mg_next parked at 43 from frame 9000, pinned reference
# user directory, CustomRTC 1041472800.  frame = the game's GlobalCounter.
frame,velx,vely,velz,posx,posy,posz
12022,0.000000,-30.000000,0.000000,128.000000,-100.000000,0.000000
12230,0.000000,-18.299999,0.000000,128.000000,-118.599998,0.000000
12231,0.000000,-18.000000,0.000000,128.000000,-136.899994,0.000000
12232,0.000000,-17.699999,0.000000,128.000000,-154.899994,0.000000
12233,0.000000,-17.399998,0.000000,128.000000,-172.599991,0.000000
12234,0.000000,-17.099997,0.000000,128.000000,-189.999985,0.000000
12235,0.000000,-16.799995,0.000000,128.000000,-207.099976,0.000000
12236,0.000000,-16.499994,0.000000,128.000000,-223.899963,0.000000
12237,0.000000,-16.199991,0.000000,128.000000,-240.399963,0.000000
12238,0.000000,-15.899991,0.000000,128.000000,-256.599945,0.000000
12239,0.000000,-15.599989,0.000000,128.000000,-272.499939,0.000000
12240,0.000000,-15.299989,0.000000,128.000000,-288.099915,0.000000
12241,0.000000,-14.999989,0.000000,128.000000,-303.399902,0.000000
12242,0.000000,-14.699986,0.000000,128.000000,-318.399902,0.000000
12243,0.000000,-14.399985,0.000000,128.000000,-333.099884,0.000000
12244,0.000000,-14.099985,0.000000,128.000000,-347.499878,0.000000
12245,0.000000,-13.799985,0.000000,128.000000,-361.599854,0.000000
12246,0.000000,-13.499986,0.000000,128.000000,-375.399841,0.000000
12247,0.000000,-13.199985,0.000000,128.000000,-388.899841,0.000000
12248,0.000000,-12.899985,0.000000,128.000000,-402.099823,0.000000
12249,-6.555553,-10.206560,0.000000,123.446938,-413.808624,0.000000
12250,-6.555553,-9.906559,0.000000,116.891396,-424.015228,0.000000
12251,-6.555553,-9.606557,0.000000,110.335838,-433.921814,0.000000
12252,-8.818822,-6.547269,0.000000,103.184616,-442.968353,0.000000
12253,-8.818822,-6.247267,0.000000,94.365791,-449.515625,0.000000
12254,-8.818823,-5.947266,0.000000,85.546959,-455.762878,0.000000
12255,-8.818823,-5.647266,0.000000,76.728134,-461.710144,0.000000
12256,-9.566786,-2.789054,0.000000,67.741753,-467.005798,0.000000
12257,-9.566788,-2.489054,0.000000,58.174965,-469.794891,0.000000
12258,-9.566787,-2.189054,0.000000,48.608177,-472.283905,0.000000
12259,-9.566788,-1.889054,0.000000,39.041389,-474.472961,0.000000
12260,-9.566789,-1.589054,0.000000,29.474600,-476.361969,0.000000
12261,-9.566788,-1.289054,0.000000,19.907810,-477.951050,0.000000
12262,-9.566789,-0.989054,0.000000,10.341022,-479.240082,0.000000
12263,-9.566789,-0.689054,0.000000,0.774235,-480.229126,0.000000
12264,-9.566788,-0.389054,0.000000,-8.792553,-480.918182,0.000000
12265,-9.106007,1.552255,0.000000,-18.322794,-480.325928,0.000000
12266,-9.106006,1.852255,0.000000,-27.428801,-478.773682,0.000000
12267,-9.106006,2.152255,0.000000,-36.534801,-476.921417,0.000000
12268,-9.106006,2.452255,0.000000,-45.640808,-474.769135,0.000000
12269,-9.106006,2.752254,0.000000,-54.746815,-472.316833,0.000000
12270,-8.218693,4.281531,0.000000,-63.467823,-468.570862,0.000000
12271,-8.218694,4.581532,0.000000,-71.686516,-464.289337,0.000000
12272,-8.218695,4.881532,0.000000,-79.905220,-459.707825,0.000000
12273,-8.218694,5.181532,0.000000,-88.123909,-454.826263,0.000000
12274,-8.218693,5.481533,0.000000,-96.342598,-449.644714,0.000000
12275,-6.231243,7.449430,0.000000,-103.155067,-442.524902,0.000000
12276,-6.231243,7.749431,0.000000,-109.386307,-435.075439,0.000000
12277,-6.231244,8.049431,0.000000,-115.617561,-427.326050,0.000000
12278,-6.231243,8.349429,0.000000,-121.848793,-419.276611,0.000000
12279,-2.263040,10.042194,0.000000,-125.759033,-409.785461,0.000000
12280,-2.263040,10.342193,0.000000,-128.022079,-399.743286,0.000000
12281,-2.263040,10.642193,0.000000,-130.285141,-389.401093,0.000000
12282,-0.154502,10.325953,0.000000,-131.983856,-375.777740,0.000000
12283,0.074167,10.213748,0.000000,-130.945175,-365.450897,0.000000
12284,0.074167,10.513748,0.000000,-130.870987,-355.237183,0.000000
12285,0.074167,10.813748,0.000000,-130.796814,-344.723389,0.000000
12286,0.074167,11.113750,0.000000,-130.722672,-333.909607,0.000000
12287,0.074167,11.413749,0.000000,-130.648499,-322.795837,0.000000
12288,0.074167,11.713748,0.000000,-130.574310,-311.382080,0.000000
12289,0.074167,12.013747,0.000000,-130.500137,-299.668335,0.000000
12290,0.074167,12.313748,0.000000,-130.425949,-287.654602,0.000000
12291,0.074167,12.613749,0.000000,-130.351791,-275.340881,0.000000
12292,0.074167,12.913748,0.000000,-130.277618,-262.727173,0.000000
12293,0.074167,13.213748,0.000000,-130.203461,-249.813446,0.000000
12294,0.074167,13.513747,0.000000,-130.129257,-236.599686,0.000000
12295,0.074167,13.813745,0.000000,-130.055084,-223.085938,0.000000
12296,0.074167,14.113746,0.000000,-129.980896,-209.272202,0.000000
12297,0.074167,14.413744,0.000000,-129.906738,-195.158478,0.000000
12298,0.074167,14.713744,0.000000,-129.832550,-180.744751,0.000000
12299,0.074167,15.013742,0.000000,-129.758377,-166.030975,0.000000
12300,0.074167,15.313744,0.000000,-129.684219,-151.017197,0.000000
12301,0.074167,15.613742,0.000000,-129.610062,-135.703430,0.000000
12302,0.074167,15.913743,0.000000,-129.535889,-120.089676,0.000000
12303,0.074167,16.213741,0.000000,-129.461746,-104.175926,0.000000
12304,0.074167,16.513741,0.000000,-129.387604,-87.962181,0.000000
12305,10.866879,10.545657,0.000000,-128.041931,-71.896057,0.000000
12306,9.615479,-5.853294,0.000000,-113.183716,-70.434723,0.000000
12307,1.649980,-9.184338,0.000000,-106.951218,-78.710449,0.000000
12308,-0.801443,-8.622193,0.000000,-105.531578,-87.920174,0.000000
12309,-0.801443,-8.322193,0.000000,-106.333023,-96.542366,0.000000
12310,-0.801442,-8.022193,0.000000,-107.134468,-104.864555,0.000000
12311,-0.801443,-7.722193,0.000000,-107.935913,-112.886742,0.000000
12312,-0.801442,-7.422192,0.000000,-108.737358,-120.608932,0.000000
12313,-0.801442,-7.122192,0.000000,-109.538803,-128.031128,0.000000
12314,-0.801442,-6.822193,0.000000,-110.340240,-135.153320,0.000000
12315,-0.801442,-6.522192,0.000000,-111.141685,-141.975510,0.000000
12316,-0.801442,-6.222192,0.000000,-111.943123,-148.497696,0.000000
12317,-0.801442,-5.922191,0.000000,-112.744568,-154.719879,0.000000
12318,-0.801442,-5.622191,0.000000,-113.546013,-160.642075,0.000000
12319,-0.801442,-5.322190,0.000000,-114.347458,-166.264267,0.000000
12320,-0.801442,-5.022191,0.000000,-115.148895,-171.586456,0.000000
12321,-0.801442,-4.722191,0.000000,-115.950333,-176.608643,0.000000
12322,-0.801442,-4.422191,0.000000,-116.751778,-181.330826,0.000000
12323,-0.801443,-4.122190,0.000000,-117.553223,-185.753021,0.000000
12324,-0.801443,-3.822190,0.000000,-118.354660,-189.875214,0.000000
12325,-0.801442,-3.522189,0.000000,-119.156097,-193.697403,0.000000
12326,-0.801443,-3.222190,0.000000,-119.957542,-197.219589,0.000000
12327,-0.801442,-2.922190,0.000000,-120.758980,-200.441788,0.000000
12328,-0.801442,-2.622190,0.000000,-121.560417,-203.363968,0.000000
12329,-0.801443,-2.322190,0.000000,-122.361862,-205.986160,0.000000
12330,-0.801443,-2.022190,0.000000,-123.163307,-208.308350,0.000000
12331,-0.801443,-1.722190,0.000000,-123.964752,-210.330536,0.000000
12332,-0.801443,-1.422190,0.000000,-124.766197,-212.052719,0.000000
12333,-0.801442,-1.122190,0.000000,-125.567642,-213.474915,0.000000
12334,-0.801442,-0.822190,0.000000,-126.369087,-214.597107,0.000000
12335,-0.801442,-0.522190,0.000000,-127.170532,-215.419296,0.000000
12336,-0.801443,-0.222190,0.000000,-127.971977,-215.941483,0.000000
12337,-0.801443,0.077810,0.000000,-128.773422,-216.163666,0.000000
12338,-0.801442,0.377810,0.000000,-129.574860,-216.085861,0.000000
12339,-0.801442,0.677810,0.000000,-130.376297,-215.708054,0.000000
12340,-0.801442,0.977810,0.000000,-131.177734,-215.030243,0.000000
